timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,URL,Latency
1390368885413,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885417,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885426,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885430,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885439,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885443,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885452,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885456,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885465,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885469,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885478,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885482,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885491,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885495,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885504,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885508,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885517,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885521,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885530,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885534,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885543,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885547,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885556,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885560,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885569,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885573,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885582,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885586,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885595,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885599,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885608,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885612,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885621,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885625,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885634,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885642,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885647,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885654,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885660,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885667,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885673,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885680,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885686,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885693,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885699,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885706,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885712,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885719,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885725,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885732,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885738,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885745,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885761,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885761,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885774,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885775,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885787,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885787,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885800,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885800,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885812,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885812,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885824,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885824,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885837,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885837,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885850,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885850,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885863,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885864,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885876,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885876,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885889,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885889,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885902,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885902,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885915,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885915,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885928,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885928,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885941,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885941,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885954,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368885954,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885966,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885967,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885979,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885980,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885992,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368885993,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886005,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886006,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886018,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886019,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886031,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886031,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886044,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886044,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886056,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886058,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886068,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886071,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886081,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886083,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886093,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886095,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886105,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886108,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886117,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886120,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886129,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886133,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886146,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886158,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886141,35,HTTP Request,200,OK,Thread Group 1-1,text,true,169,http://172.19.10.27:8089/pretups/test.html,35
1390368886170,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886177,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886182,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886190,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886194,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886202,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886206,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886214,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886218,12,HTTP Request,200,OK,Thread Group 1-3,text,true,169,http://172.19.10.27:8089/pretups/test.html,12
1390368886226,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886230,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886238,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886243,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886250,13,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
1390368886255,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886263,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886267,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886275,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886279,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886287,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886291,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886299,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886303,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886311,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886315,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886323,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886327,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886335,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886339,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886347,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886351,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886359,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886363,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886371,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886375,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886383,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886387,12,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886395,12,HTTP Request,200,OK,Thread Group 1-1,text,true,150,http://172.19.10.27:8089/pretups/test.html,12
1390368886399,13,HTTP Request,200,OK,Thread Group 1-3,text,true,150,http://172.19.10.27:8089/pretups/test.html,13
